,GID_0,CI,QR,Population,Population Coverage (%),rwi_count,QR_transformed
0,AGO,-0.26321325721410915,0.23732602694513755,33276783.522902656,97.46736684796592,3692431,-4.213612863586889
1,ALB,-0.03814193058753412,0.1529403840113607,2861622.824662612,97.99791740729574,578378,-6.538495417441335
2,ARG,-0.25087258321567685,0.44688455872962085,44809852.78303615,97.60071349394231,5056075,-2.2377143726844033
3,ARM,-0.30268908029945574,0.0,2804839.7229151772,98.6311048829838,297880,inf
5,BDI,-0.12042747528536335,0.3432280311470751,12216594.972295798,99.98541840304445,1635102,-2.913514949982318
6,BEN,-0.23647217115875752,0.3490318652421126,12555923.56625609,99.28810171309928,2026208,-2.8650679195331663
7,BFA,-0.36754300511297566,0.0066162434324329045,21437682.42167312,98.16505718204147,5156363,-151.14316911285155
8,BGD,-0.33001553542487116,0.1350660259257027,166855913.37950656,99.6532795119677,8125464,-7.403786356682186
9,BGR,0.023208573634328156,0.9436842165057626,6948524.8960773675,98.12018028019924,1431456,-1.0596765130848127
10,BIH,0.005298739962657395,0.7624829000637007,3298153.8379922905,97.2845621371359,1249248,-1.3115048218346357
11,BLZ,0.05081212287815462,1.1666231750257983,382659.3586416375,96.16257984888314,84241,1.1666231750257983
12,BOL,-0.17814159501619375,0.4737177815001069,11975480.407222841,93.40438219913597,1567665,-2.1109615029297233
13,BRA,-0.23213365414905807,0.3923822728378222,211213630.5676406,96.45466999099075,26848106,-2.5485351128829308
14,BTN,0.5481040587498769,76.72635078825381,806943.4883440585,94.67784887719041,199135,76.72635078825381
15,BWA,-0.27839340592660156,0.0,2546800.77907962,96.29115557575024,615633,inf
16,CAF,-0.336749842133804,0.03050480353872575,5324807.685315041,93.11422868750944,381032,-32.781722351711046
17,CIV,0.20726870321785684,2.0107169518314194,26771763.895120136,98.69170348886857,2546212,2.0107169518314194
18,CMR,-0.6430410224262573,0.0,26377576.735212743,98.49228720918455,2523442,inf
19,COD,-0.2769604978689162,0.14275451847739912,92763866.90274027,97.29693442277207,5628306,-7.0050322095991655
20,COG,-0.6477689092755933,0.0,5661486.744759373,97.90183928047028,233363,inf
21,COL,-0.1619227572082158,0.5740107744821701,50487264.44978428,97.13105528214602,4678909,-1.742127577486896
22,COM,,,788779.3369964879,99.28274953197908,27975,
23,CPV,,,575652.48167867,98.29111561906493,68697,
24,CRI,-0.14549925825152799,0.02958198940321009,5114049.322746741,99.23290708189846,727289,-33.80435258662776
25,DJI,-0.33937395578441876,0.7899561986912975,1078093.903141174,95.78257844770361,36623,-1.265892971859297
26,DMA,,,61975.15815832401,98.30643561129021,9693,
27,DOM,0.032024714456747816,1.1392359123641127,10975891.132721193,99.72290011926171,829668,1.1392359123641127
28,DZA,0.3810181525822278,10.00530815838408,43386616.853809156,98.98368444473566,5570858,10.00530815838408
29,ECU,-0.03363177555807573,0.8833937261297866,17333423.735450096,96.17000088004461,2031183,-1.131998077891128
30,EGY,-0.15007045417433063,0.5568899986992308,107355462.07674259,97.71048976677768,4038374,-1.7956867645958339
31,ERI,0.1421329333034822,0.0,3500105.269415508,97.30603750849292,442388,inf
32,ETH,-0.1896819545673678,0.26381059156864006,116799384.07206252,97.8050089806069,19042761,-3.790598376107326
34,GEO,0.28570564997084524,4.671023146057136,3708304.054138826,96.6494974389562,1102484,4.671023146057136
35,GHA,-0.05348876203299757,1.0672542254390562,32231632.47223364,99.3203543618743,3398195,1.0672542254390562
36,GIN,0.27735030223903556,3.888950464707627,13181716.610734213,98.62612310406024,1618681,3.888950464707627
37,GMB,0.24310761975144057,3.238708932517555,2567131.6823089193,99.72542333742214,168216,3.238708932517555
38,GNB,-0.38226968875726863,0.0,1972003.5318141214,98.87585991680984,212751,inf
39,GNQ,,,1574415.793427575,98.93800559110653,73143,
40,GRD,,,116298.84245263507,98.766909845872,17075,
41,GTM,0.041923302909524285,0.5580132407314761,17336854.201627336,99.69480260142774,2002863,-1.7920721714222088
42,GUY,0.23286209002825053,6.701906163734903,753677.328323376,91.18525385029083,65217,6.701906163734903
43,HND,-0.03581782042197079,1.7864691451571046,10071152.572929686,99.02331364081729,1440914,1.7864691451571046
44,HTI,0.3552603181413583,5.077342024349409,11066491.972715035,99.3914584821777,927155,5.077342024349409
45,IDN,-0.25195429797067614,0.21874711312219802,267447523.74761194,99.37539809386786,16587345,-4.571488902079238
46,IND,-0.32648792109832814,0.1613290722912351,1379297878.0593643,99.79172408405464,96631194,-6.1985108188980105
47,Z01,0.4484605341269674,9.726873977728104,14805397.001275303,98.88016804621009,1469921,9.726873977728104
50,Z07,0.26366860340575116,32.59068482635663,1039358.2533738031,95.91705554797781,152918,32.59068482635663
52,JAM,-0.1451446535181199,0.5194769758347164,2792449.0776955183,99.40683414426515,405475,-1.9250131315120558
53,JOR,-0.9086676055633526,0.0,10918763.706992334,99.57683666295438,491708,inf
54,KAZ,-0.14217571976910404,0.41069029413702474,18933063.039054707,97.24070846631305,3025903,-2.43492484306521
55,KEN,-0.01405648917846647,1.1933237497232256,52017528.4738277,97.35197066426785,9545316,1.1933237497232256
56,KGZ,-0.5874687937432719,0.0,6269875.201465709,97.90715063662704,955296,inf
57,KHM,-0.14957075480397974,0.33516458452809184,16363889.30485587,97.98835988531064,1896907,-2.9836087885239704
58,LAO,0.09387364537190002,1.4698761773210747,7278919.212737368,92.26144697142166,1354598,1.4698761773210747
59,LBR,0.2118277082197142,2.3298985258846323,5068265.293743848,98.23533208235433,373141,2.3298985258846323
61,LCA,,,175473.05199446154,99.16995003553622,23571,
62,LKA,0.2214189432654725,2.696551448058067,21480301.82232985,99.68841206961167,2582699,2.696551448058067
63,LSO,0.28405890578927817,,2256335.4212309467,98.7449713388678,576209,
64,MAR,0.12231970505201706,2.7684809285169165,36625575.10930357,99.25950622530617,2012865,2.7684809285169165
65,MDA,-0.16375579226717007,0.44858601729904907,3080220.8037424227,98.07455589147666,771957,-2.2292268627119327
66,MDG,0.2250154955112431,2.8776438284209434,28144603.460775867,96.89216518644345,4685472,2.8776438284209434
68,MEX,-0.20364263103694413,0.481248257711233,125851910.87107107,99.03908610887642,12593572,-2.077929600734342
69,MKD,-0.13760708616897133,0.5427366778559344,2109649.5020140866,98.70745433326583,314030,-1.8425141340188602
70,MLI,-0.0398600254508763,0.8104093536050908,21192465.98321509,96.36110678943655,2617020,-1.233944296856297
71,MNE,0.14353463936926136,1.4427605445443843,624169.0694272112,97.90384022623437,86881,1.4427605445443843
73,MOZ,0.05335009849402894,1.0703553471689748,31022976.472912434,97.77465118739038,9140338,1.0703553471689748
74,MRT,0.03060133491147843,0.0010512601211894197,4443686.4674718715,96.18702583677938,558027,-951.239355363901
75,MUS,,,1290297.3074170416,99.81056254959773,80939,
76,MWI,-0.15898326347488,0.5646260201065584,19332702.484728634,99.72825908976996,3590259,-1.7710838048364759
77,MYS,0.05806667834256518,1.1940342636835917,32548776.848102238,97.76621894059821,2837302,1.1940342636835917
79,NER,-0.03702399742704443,0.22435940272106966,24214645.15713595,96.70387489646004,3125246,-4.457134347265267
80,NGA,-0.4884875033636036,0.09582258472889699,208050402.29564726,99.15880968932841,18315437,-10.435953098418482
81,NIC,0.08928829200142196,0.7524476461798199,6735336.844173345,98.25648734558146,1072671,-1.3289961169750542
82,NPL,0.12908002935060625,2.145056944864838,29317079.952799514,99.67777695771952,4223276,2.145056944864838
83,PAK,-0.44259145073619777,0.10732271822641246,222338270.89392307,99.25374793823278,15740862,-9.317691692176101
84,Z06,0.2687837161891129,4.243044778579231,4743700.450692068,97.10307760303823,776989,4.243044778579231
85,PER,-0.5541855439569155,0.06473563882325538,32786464.449192323,98.39505385773887,4194686,-15.44744159751404
86,PHL,-0.05822411174582642,0.7243681875925408,107367134.49383526,99.49634616120447,6016233,-1.3805134144881896
87,PRY,0.033954845708177084,1.12851575693887,6589037.937709795,94.41090131897026,1491404,1.12851575693887
88,ROU,0.19074262163627753,2.7601622699397095,19426492.87540236,97.8084377300181,4478689,2.7601622699397095
89,RWA,-0.1445088440364155,0.12374662217688084,13104209.516909955,99.96676271151141,1594556,-8.081028656851908
90,SEN,0.15475729713865927,4.668090993177481,16431567.328439763,99.21967552529368,1683715,4.668090993177481
91,SLE,-0.12394347922015514,0.8336050955265543,8185401.179503456,98.98174457683314,478565,-1.1996087900210601
92,SLV,-0.18844534786095124,0.0,6281874.519105454,99.9210542699783,687913,inf
93,SRB,-0.042738898079655585,0.9641271828966846,7383596.491527683,95.89704534875221,1742396,-1.0372075569900818
94,STP,,,213428.65651313495,99.33411834299831,11960,
95,SUR,0.03648148193241085,0.0,578123.0257367373,91.58455067363425,79176,inf
96,SWZ,-0.2775623240183611,0.005613104951556989,1180217.522809923,99.06475041011555,601809,-178.1545167301059
97,TCD,-0.06286077096166265,1.2035671131814134,16530600.445941597,94.5076530928198,1966532,1.2035671131814134
98,TGO,0.29658109630453167,7.553959272533962,8368547.989974648,99.20984957849596,1302105,7.553959272533962
99,THA,-0.1883172664572419,0.3222203007277118,71063206.49488017,99.5087300504007,13833174,-3.10346678263775
100,TJK,-0.18312683690356069,0.5267403317906225,9500789.715284698,98.78020115474074,1070674,-1.8984686374794186
101,TKM,-0.49542798063022697,5.2149609384842824e-05,6234799.496965585,98.19281094559412,996459,-19175.599046589366
102,TLS,,,1295672.9450832347,99.18523460083063,182748,
103,TUN,0.1767142586291346,4.729987554234575,12124902.611573117,98.98213230588352,2780042,4.729987554234575
104,TUR,0.0655484265065771,2.0092113649663013,83406253.8709827,98.74888426683356,6400878,2.0092113649663013
105,TZA,0.059625494049041716,1.5248746389641386,61592134.445501186,98.70419613410503,14903615,1.5248746389641386
106,UGA,-0.27574390735417076,0.07464863334505788,44394188.73913633,98.96342596210643,8257251,-13.396092536317079
107,UKR,-0.10346214301916057,0.7046123511788397,43824727.253307834,97.40026208183089,9340137,-1.4192200836771696
108,UZB,-0.3708452655261858,0.07941461343931738,33452125.916063424,99.63216513650094,4683490,-12.592140875484134
109,VCT,,,92592.85750539174,98.877739133095,11902,
110,VNM,-0.47697167319148326,0.044836936746304706,95599615.868318,94.56653594865693,8603104,-22.30304013983329
111,ZAF,0.3560849587953496,7.168757759985998,58784760.42480697,98.4493722886804,7881989,7.168757759985998
112,ZMB,-0.30742351988138394,0.18909644341111412,18813397.350260083,96.43577805635206,5409334,-5.288306760090154
113,ZWE,0.14928737929136893,1.2585480305149321,15650646.260724219,97.68577835602481,8505588,1.2585480305149321
